geliþ_zamaný,týr_plakasý,ülke,20_ton_adet,30_ton_adet,yük_miktarý,maliyet
35,41_kostu_724,Neverland,0,1,30,30000
35,41_kostu_763,Oceania,0,1,30,30000
40,41_kostu_875,Oceania,1,0,20,20000
45,41_kostu_395,Neverland,0,1,30,30000
45,41_kostu_705,Oceania,1,0,20,20000
50,41_kostu_896,Neverland,1,0,20,20000
50,41_kostu_526,Mordor,0,1,30,30000
50,41_kostu_160,Neverland,0,1,30,30000
50,41_kostu_323,Lilliputa,0,1,30,30000
54,41_kostu_327,Neverland,0,1,30,30000
54,41_kostu_255,Mordor,0,1,30,30000
54,41_kostu_300,Oceania,1,0,20,20000
54,41_kostu_780,Oceania,1,0,20,20000
54,41_kostu_630,Neverland,1,0,20,20000
54,41_kostu_275,Neverland,1,0,20,20000
54,41_kostu_227,Lilliputa,0,1,30,30000
59,41_kostu_512,Mordor,0,1,30,30000
59,41_kostu_259,Mordor,0,1,30,30000
59,41_kostu_508,Oceania,1,0,20,20000
59,41_kostu_988,Neverland,1,0,20,20000
64,41_kostu_344,Mordor,1,0,20,20000
64,41_kostu_972,Neverland,1,0,20,20000
64,41_kostu_892,Mordor,1,0,20,20000
64,41_kostu_896,Lilliputa,1,0,20,20000
64,41_kostu_045,Oceania,1,0,20,20000
68,41_kostu_585,Mordor,0,1,30,30000
69,41_kostu_543,Mordor,1,0,20,20000
69,41_kostu_308,Neverland,1,0,20,20000
69,41_kostu_006,Neverland,0,1,30,30000
69,41_kostu_600,Oceania,0,1,30,30000
71,41_kostu_195,Mordor,0,1,30,30000
71,41_kostu_552,Oceania,1,0,20,20000
71,41_kostu_413,Neverland,0,1,30,30000
71,41_kostu_138,Mordor,1,0,20,20000
71,41_kostu_037,Lilliputa,0,1,30,30000
71,41_kostu_091,Mordor,0,1,30,30000
71,41_kostu_630,Neverland,1,0,20,20000
73,41_kostu_713,Lilliputa,1,0,20,20000
73,41_kostu_163,Neverland,0,1,30,30000
73,41_kostu_331,Neverland,0,1,30,30000
73,41_kostu_058,Neverland,0,1,30,30000
73,41_kostu_205,Oceania,0,1,30,30000
73,41_kostu_813,Oceania,0,1,30,30000
75,41_kostu_332,Mordor,0,1,30,30000
75,41_kostu_672,Mordor,0,1,30,30000
75,41_kostu_103,Lilliputa,0,1,30,30000
80,41_kostu_436,Oceania,0,1,30,30000
80,41_kostu_159,Neverland,0,1,30,30000
80,41_kostu_221,Lilliputa,0,1,30,30000
80,41_kostu_813,Lilliputa,0,1,30,30000
80,41_kostu_267,Oceania,0,1,30,30000
80,41_kostu_303,Mordor,1,0,20,20000
80,41_kostu_283,Oceania,0,1,30,30000
83,41_kostu_225,Neverland,0,1,30,30000
88,41_kostu_535,Neverland,0,1,30,30000
88,41_kostu_628,Neverland,0,1,30,30000
88,41_kostu_925,Mordor,0,1,30,30000
88,41_kostu_606,Neverland,0,1,30,30000
88,41_kostu_766,Lilliputa,0,1,30,30000
88,41_kostu_038,Neverland,0,1,30,30000
88,41_kostu_271,Mordor,1,0,20,20000
89,41_kostu_119,Lilliputa,0,1,30,30000
89,41_kostu_379,Neverland,0,1,30,30000
89,41_kostu_270,Mordor,0,1,30,30000
89,41_kostu_510,Neverland,0,1,30,30000
90,41_kostu_972,Neverland,0,1,30,30000
90,41_kostu_313,Lilliputa,1,0,20,20000
90,41_kostu_696,Lilliputa,0,1,30,30000
90,41_kostu_180,Lilliputa,0,1,30,30000
90,41_kostu_304,Lilliputa,0,1,30,30000
90,41_kostu_680,Neverland,1,0,20,20000
92,41_kostu_935,Lilliputa,0,1,30,30000
92,41_kostu_901,Lilliputa,1,0,20,20000
92,41_kostu_805,Oceania,1,0,20,20000
97,41_kostu_776,Neverland,1,0,20,20000
97,41_kostu_405,Oceania,1,0,20,20000
97,41_kostu_102,Lilliputa,0,1,30,30000
102,41_kostu_839,Mordor,0,1,30,30000
102,41_kostu_784,Neverland,0,1,30,30000
102,41_kostu_947,Mordor,0,1,30,30000
102,41_kostu_251,Oceania,0,1,30,30000
102,41_kostu_533,Lilliputa,1,0,20,20000
103,41_kostu_603,Lilliputa,1,0,20,20000
103,41_kostu_731,Oceania,0,1,30,30000
103,41_kostu_174,Mordor,1,0,20,20000
103,41_kostu_949,Lilliputa,1,0,20,20000
108,41_kostu_116,Oceania,0,1,30,30000
108,41_kostu_936,Neverland,0,1,30,30000
108,41_kostu_301,Oceania,0,1,30,30000
108,41_kostu_126,Neverland,0,1,30,30000
108,41_kostu_827,Oceania,0,1,30,30000
108,41_kostu_723,Neverland,0,1,30,30000
113,41_kostu_090,Oceania,0,1,30,30000
113,41_kostu_262,Lilliputa,0,1,30,30000
118,41_kostu_045,Lilliputa,1,0,20,20000
118,41_kostu_450,Neverland,0,1,30,30000
118,41_kostu_686,Oceania,1,0,20,20000
118,41_kostu_102,Neverland,1,0,20,20000
118,41_kostu_479,Oceania,1,0,20,20000
119,41_kostu_414,Neverland,0,1,30,30000
119,41_kostu_625,Mordor,0,1,30,30000
124,41_kostu_391,Mordor,1,0,20,20000
124,41_kostu_199,Neverland,0,1,30,30000
124,41_kostu_869,Oceania,1,0,20,20000
124,41_kostu_974,Lilliputa,1,0,20,20000
124,41_kostu_286,Mordor,0,1,30,30000
124,41_kostu_402,Mordor,0,1,30,30000
124,41_kostu_898,Mordor,1,0,20,20000
128,41_kostu_932,Lilliputa,1,0,20,20000
128,41_kostu_667,Neverland,1,0,20,20000
128,41_kostu_894,Lilliputa,0,1,30,30000
128,41_kostu_872,Lilliputa,0,1,30,30000
128,41_kostu_1000,Oceania,1,0,20,20000
128,41_kostu_785,Neverland,1,0,20,20000
131,41_kostu_038,Mordor,1,0,20,20000
131,41_kostu_193,Lilliputa,0,1,30,30000
136,41_kostu_903,Oceania,0,1,30,30000
138,41_kostu_039,Oceania,1,0,20,20000
138,41_kostu_571,Neverland,1,0,20,20000
138,41_kostu_028,Mordor,0,1,30,30000
138,41_kostu_850,Neverland,1,0,20,20000
138,41_kostu_502,Lilliputa,0,1,30,30000
139,41_kostu_131,Lilliputa,1,0,20,20000
139,41_kostu_157,Oceania,0,1,30,30000
139,41_kostu_735,Lilliputa,0,1,30,30000
139,41_kostu_844,Lilliputa,0,1,30,30000
139,41_kostu_832,Oceania,0,1,30,30000
139,41_kostu_505,Mordor,0,1,30,30000
139,41_kostu_977,Neverland,0,1,30,30000
143,41_kostu_883,Mordor,0,1,30,30000
143,41_kostu_105,Lilliputa,0,1,30,30000
143,41_kostu_749,Neverland,1,0,20,20000
143,41_kostu_310,Lilliputa,0,1,30,30000
143,41_kostu_238,Oceania,0,1,30,30000
143,41_kostu_036,Lilliputa,0,1,30,30000
148,41_kostu_670,Lilliputa,1,0,20,20000
148,41_kostu_179,Mordor,1,0,20,20000
148,41_kostu_243,Mordor,0,1,30,30000
153,41_kostu_224,Neverland,1,0,20,20000
153,41_kostu_838,Lilliputa,0,1,30,30000
153,41_kostu_113,Neverland,1,0,20,20000
153,41_kostu_749,Mordor,0,1,30,30000
153,41_kostu_693,Neverland,0,1,30,30000
156,41_kostu_686,Neverland,1,0,20,20000
156,41_kostu_251,Lilliputa,0,1,30,30000
156,41_kostu_588,Mordor,0,1,30,30000
157,41_kostu_568,Neverland,1,0,20,20000
157,41_kostu_328,Lilliputa,0,1,30,30000
157,41_kostu_270,Oceania,1,0,20,20000
157,41_kostu_299,Mordor,0,1,30,30000
160,41_kostu_364,Mordor,1,0,20,20000
160,41_kostu_256,Oceania,0,1,30,30000
160,41_kostu_022,Mordor,1,0,20,20000
160,41_kostu_388,Lilliputa,0,1,30,30000
160,41_kostu_925,Lilliputa,1,0,20,20000
165,41_kostu_143,Oceania,1,0,20,20000
165,41_kostu_912,Oceania,1,0,20,20000
165,41_kostu_495,Oceania,0,1,30,30000
165,41_kostu_981,Lilliputa,0,1,30,30000
165,41_kostu_601,Mordor,0,1,30,30000
169,41_kostu_405,Lilliputa,1,0,20,20000
169,41_kostu_216,Lilliputa,1,0,20,20000
170,41_kostu_059,Mordor,1,0,20,20000
173,41_kostu_171,Neverland,0,1,30,30000
173,41_kostu_694,Neverland,0,1,30,30000
173,41_kostu_835,Mordor,1,0,20,20000
173,41_kostu_540,Lilliputa,1,0,20,20000
173,41_kostu_817,Lilliputa,1,0,20,20000
173,41_kostu_841,Neverland,0,1,30,30000
173,41_kostu_025,Mordor,1,0,20,20000
176,41_kostu_247,Mordor,1,0,20,20000
176,41_kostu_926,Neverland,1,0,20,20000
176,41_kostu_452,Lilliputa,0,1,30,30000
176,41_kostu_241,Lilliputa,0,1,30,30000
176,41_kostu_127,Mordor,1,0,20,20000
176,41_kostu_821,Oceania,0,1,30,30000
181,41_kostu_841,Mordor,1,0,20,20000
181,41_kostu_232,Lilliputa,0,1,30,30000
181,41_kostu_992,Oceania,0,1,30,30000
181,41_kostu_378,Oceania,1,0,20,20000
181,41_kostu_949,Neverland,0,1,30,30000
182,41_kostu_379,Mordor,1,0,20,20000
182,41_kostu_899,Oceania,1,0,20,20000
182,41_kostu_283,Lilliputa,0,1,30,30000
182,41_kostu_255,Neverland,0,1,30,30000
182,41_kostu_391,Lilliputa,1,0,20,20000
182,41_kostu_734,Mordor,1,0,20,20000
182,41_kostu_793,Neverland,1,0,20,20000
184,41_kostu_763,Lilliputa,1,0,20,20000
187,41_kostu_066,Oceania,0,1,30,30000
187,41_kostu_094,Lilliputa,0,1,30,30000
187,41_kostu_053,Oceania,0,1,30,30000
187,41_kostu_880,Oceania,1,0,20,20000
191,41_kostu_121,Mordor,0,1,30,30000
191,41_kostu_079,Lilliputa,1,0,20,20000
191,41_kostu_424,Neverland,0,1,30,30000
191,41_kostu_151,Oceania,1,0,20,20000
193,41_kostu_524,Mordor,0,1,30,30000
193,41_kostu_242,Oceania,1,0,20,20000
196,41_kostu_175,Lilliputa,1,0,20,20000
196,41_kostu_117,Neverland,0,1,30,30000
196,41_kostu_418,Lilliputa,1,0,20,20000
201,41_kostu_660,Oceania,1,0,20,20000
201,41_kostu_233,Neverland,1,0,20,20000
201,41_kostu_060,Neverland,0,1,30,30000
201,41_kostu_756,Oceania,0,1,30,30000
201,41_kostu_203,Oceania,0,1,30,30000
204,41_kostu_446,Neverland,0,1,30,30000
207,41_kostu_334,Neverland,1,0,20,20000
212,41_kostu_511,Oceania,1,0,20,20000
212,41_kostu_883,Mordor,1,0,20,20000
212,41_kostu_986,Mordor,0,1,30,30000
212,41_kostu_813,Oceania,0,1,30,30000
212,41_kostu_863,Oceania,1,0,20,20000
217,41_kostu_724,Neverland,0,1,30,30000
219,41_kostu_777,Lilliputa,0,1,30,30000
219,41_kostu_189,Oceania,0,1,30,30000
219,41_kostu_962,Lilliputa,0,1,30,30000
219,41_kostu_957,Neverland,1,0,20,20000
219,41_kostu_937,Oceania,1,0,20,20000
222,41_kostu_335,Neverland,0,1,30,30000
222,41_kostu_259,Oceania,1,0,20,20000
222,41_kostu_919,Neverland,1,0,20,20000
222,41_kostu_457,Mordor,0,1,30,30000
224,41_kostu_345,Lilliputa,0,1,30,30000
224,41_kostu_517,Lilliputa,0,1,30,30000
225,41_kostu_698,Mordor,1,0,20,20000
225,41_kostu_171,Neverland,0,1,30,30000
225,41_kostu_991,Mordor,0,1,30,30000
225,41_kostu_140,Mordor,1,0,20,20000
228,41_kostu_464,Oceania,1,0,20,20000
232,41_kostu_769,Neverland,1,0,20,20000
232,41_kostu_613,Neverland,0,1,30,30000
232,41_kostu_794,Oceania,0,1,30,30000
236,41_kostu_871,Mordor,1,0,20,20000
236,41_kostu_650,Oceania,1,0,20,20000
236,41_kostu_489,Oceania,0,1,30,30000
238,41_kostu_025,Oceania,0,1,30,30000
238,41_kostu_240,Neverland,0,1,30,30000
238,41_kostu_330,Neverland,1,0,20,20000
238,41_kostu_046,Lilliputa,1,0,20,20000
239,41_kostu_348,Oceania,0,1,30,30000
239,41_kostu_268,Oceania,1,0,20,20000
239,41_kostu_726,Neverland,1,0,20,20000
239,41_kostu_332,Oceania,1,0,20,20000
243,41_kostu_376,Oceania,1,0,20,20000
243,41_kostu_188,Lilliputa,1,0,20,20000
243,41_kostu_383,Neverland,0,1,30,30000
243,41_kostu_743,Oceania,0,1,30,30000
243,41_kostu_241,Mordor,1,0,20,20000
243,41_kostu_545,Lilliputa,0,1,30,30000
244,41_kostu_707,Lilliputa,0,1,30,30000
244,41_kostu_512,Lilliputa,0,1,30,30000
244,41_kostu_098,Mordor,1,0,20,20000
244,41_kostu_406,Lilliputa,1,0,20,20000
244,41_kostu_660,Neverland,1,0,20,20000
249,41_kostu_870,Lilliputa,1,0,20,20000
249,41_kostu_207,Neverland,0,1,30,30000
249,41_kostu_416,Mordor,0,1,30,30000
249,41_kostu_686,Oceania,0,1,30,30000
249,41_kostu_373,Neverland,1,0,20,20000
249,41_kostu_095,Neverland,0,1,30,30000
249,41_kostu_088,Oceania,1,0,20,20000
254,41_kostu_434,Neverland,0,1,30,30000
254,41_kostu_339,Lilliputa,1,0,20,20000
254,41_kostu_778,Oceania,0,1,30,30000
254,41_kostu_256,Lilliputa,1,0,20,20000
254,41_kostu_959,Oceania,0,1,30,30000
256,41_kostu_569,Neverland,1,0,20,20000
256,41_kostu_528,Mordor,1,0,20,20000
256,41_kostu_400,Oceania,0,1,30,30000
256,41_kostu_046,Neverland,0,1,30,30000
256,41_kostu_875,Mordor,0,1,30,30000
256,41_kostu_261,Neverland,0,1,30,30000
259,41_kostu_1000,Oceania,1,0,20,20000
261,41_kostu_302,Mordor,1,0,20,20000
261,41_kostu_568,Lilliputa,0,1,30,30000
261,41_kostu_676,Mordor,0,1,30,30000
261,41_kostu_156,Neverland,0,1,30,30000
261,41_kostu_283,Mordor,1,0,20,20000
261,41_kostu_212,Lilliputa,1,0,20,20000
262,41_kostu_263,Oceania,1,0,20,20000
262,41_kostu_364,Mordor,0,1,30,30000
262,41_kostu_734,Oceania,0,1,30,30000
262,41_kostu_037,Oceania,1,0,20,20000
262,41_kostu_239,Lilliputa,0,1,30,30000
267,41_kostu_647,Lilliputa,1,0,20,20000
270,41_kostu_446,Neverland,0,1,30,30000
270,41_kostu_168,Lilliputa,0,1,30,30000
270,41_kostu_733,Oceania,0,1,30,30000
270,41_kostu_117,Mordor,0,1,30,30000
270,41_kostu_333,Oceania,1,0,20,20000
270,41_kostu_814,Oceania,0,1,30,30000
270,41_kostu_704,Mordor,0,1,30,30000
274,41_kostu_635,Neverland,1,0,20,20000
274,41_kostu_172,Neverland,0,1,30,30000
274,41_kostu_730,Neverland,1,0,20,20000
274,41_kostu_977,Mordor,0,1,30,30000
275,41_kostu_392,Lilliputa,1,0,20,20000
275,41_kostu_448,Lilliputa,0,1,30,30000
275,41_kostu_846,Mordor,1,0,20,20000
275,41_kostu_128,Neverland,0,1,30,30000
275,41_kostu_913,Mordor,1,0,20,20000
278,41_kostu_972,Neverland,1,0,20,20000
278,41_kostu_151,Mordor,1,0,20,20000
278,41_kostu_445,Lilliputa,0,1,30,30000
278,41_kostu_496,Neverland,1,0,20,20000
283,41_kostu_638,Lilliputa,1,0,20,20000
283,41_kostu_500,Lilliputa,1,0,20,20000
283,41_kostu_499,Lilliputa,1,0,20,20000
283,41_kostu_177,Mordor,1,0,20,20000
283,41_kostu_825,Mordor,0,1,30,30000
286,41_kostu_700,Lilliputa,1,0,20,20000
286,41_kostu_617,Neverland,0,1,30,30000
286,41_kostu_877,Oceania,0,1,30,30000
286,41_kostu_797,Mordor,1,0,20,20000
288,41_kostu_285,Lilliputa,0,1,30,30000
290,41_kostu_367,Mordor,0,1,30,30000
290,41_kostu_275,Neverland,1,0,20,20000
290,41_kostu_470,Oceania,1,0,20,20000
290,41_kostu_299,Oceania,0,1,30,30000
290,41_kostu_761,Mordor,0,1,30,30000
292,41_kostu_182,Mordor,0,1,30,30000
292,41_kostu_107,Oceania,0,1,30,30000
292,41_kostu_606,Oceania,1,0,20,20000
292,41_kostu_192,Mordor,1,0,20,20000
292,41_kostu_585,Mordor,1,0,20,20000
292,41_kostu_731,Oceania,0,1,30,30000
294,41_kostu_210,Lilliputa,0,1,30,30000
294,41_kostu_853,Neverland,1,0,20,20000
294,41_kostu_169,Oceania,0,1,30,30000
298,41_kostu_062,Mordor,0,1,30,30000
298,41_kostu_004,Mordor,0,1,30,30000
298,41_kostu_581,Neverland,1,0,20,20000
298,41_kostu_763,Lilliputa,1,0,20,20000
298,41_kostu_990,Neverland,1,0,20,20000
298,41_kostu_027,Lilliputa,1,0,20,20000
298,41_kostu_213,Oceania,0,1,30,30000
301,41_kostu_814,Oceania,0,1,30,30000
301,41_kostu_117,Neverland,0,1,30,30000
304,41_kostu_190,Neverland,0,1,30,30000
304,41_kostu_457,Mordor,1,0,20,20000
304,41_kostu_568,Neverland,1,0,20,20000
304,41_kostu_223,Neverland,1,0,20,20000
304,41_kostu_064,Lilliputa,1,0,20,20000
309,41_kostu_322,Lilliputa,1,0,20,20000
309,41_kostu_520,Lilliputa,1,0,20,20000
312,41_kostu_392,Neverland,1,0,20,20000
315,41_kostu_033,Lilliputa,0,1,30,30000
315,41_kostu_195,Oceania,0,1,30,30000
315,41_kostu_269,Neverland,0,1,30,30000
315,41_kostu_225,Lilliputa,1,0,20,20000
315,41_kostu_956,Neverland,0,1,30,30000
320,41_kostu_053,Neverland,0,1,30,30000
320,41_kostu_619,Mordor,0,1,30,30000
320,41_kostu_652,Mordor,0,1,30,30000
320,41_kostu_160,Lilliputa,1,0,20,20000
320,41_kostu_817,Neverland,0,1,30,30000
325,41_kostu_960,Neverland,1,0,20,20000
327,41_kostu_097,Lilliputa,0,1,30,30000
327,41_kostu_446,Oceania,0,1,30,30000
330,41_kostu_032,Mordor,0,1,30,30000
330,41_kostu_801,Neverland,0,1,30,30000
330,41_kostu_944,Mordor,1,0,20,20000
330,41_kostu_970,Neverland,0,1,30,30000
330,41_kostu_909,Neverland,1,0,20,20000
334,41_kostu_484,Oceania,0,1,30,30000
334,41_kostu_528,Oceania,0,1,30,30000
337,41_kostu_298,Mordor,0,1,30,30000
337,41_kostu_638,Oceania,1,0,20,20000
337,41_kostu_328,Mordor,0,1,30,30000
337,41_kostu_282,Neverland,1,0,20,20000
338,41_kostu_486,Neverland,0,1,30,30000
338,41_kostu_634,Mordor,1,0,20,20000
338,41_kostu_766,Oceania,1,0,20,20000
338,41_kostu_027,Neverland,1,0,20,20000
338,41_kostu_340,Oceania,0,1,30,30000
338,41_kostu_201,Mordor,1,0,20,20000
338,41_kostu_066,Lilliputa,0,1,30,30000
340,41_kostu_920,Oceania,1,0,20,20000
340,41_kostu_819,Mordor,1,0,20,20000
344,41_kostu_093,Neverland,0,1,30,30000
344,41_kostu_900,Mordor,1,0,20,20000
349,41_kostu_495,Neverland,1,0,20,20000
349,41_kostu_246,Lilliputa,0,1,30,30000
349,41_kostu_766,Oceania,1,0,20,20000
349,41_kostu_939,Mordor,1,0,20,20000
353,41_kostu_516,Mordor,0,1,30,30000
353,41_kostu_316,Neverland,0,1,30,30000
354,41_kostu_768,Oceania,0,1,30,30000
354,41_kostu_704,Mordor,0,1,30,30000
354,41_kostu_612,Oceania,0,1,30,30000
354,41_kostu_618,Mordor,0,1,30,30000
354,41_kostu_385,Oceania,0,1,30,30000
359,41_kostu_571,Neverland,1,0,20,20000
359,41_kostu_214,Neverland,0,1,30,30000
359,41_kostu_319,Lilliputa,0,1,30,30000
359,41_kostu_438,Lilliputa,0,1,30,30000
363,41_kostu_641,Mordor,0,1,30,30000
363,41_kostu_001,Oceania,0,1,30,30000
363,41_kostu_596,Lilliputa,0,1,30,30000
366,41_kostu_727,Oceania,1,0,20,20000
366,41_kostu_599,Lilliputa,1,0,20,20000
366,41_kostu_397,Neverland,1,0,20,20000
369,41_kostu_105,Mordor,1,0,20,20000
369,41_kostu_985,Oceania,1,0,20,20000
369,41_kostu_080,Lilliputa,0,1,30,30000
369,41_kostu_876,Neverland,1,0,20,20000
369,41_kostu_913,Mordor,1,0,20,20000
369,41_kostu_657,Neverland,0,1,30,30000
369,41_kostu_961,Mordor,0,1,30,30000
372,41_kostu_053,Neverland,1,0,20,20000
377,41_kostu_158,Lilliputa,0,1,30,30000
377,41_kostu_972,Oceania,0,1,30,30000
377,41_kostu_619,Neverland,0,1,30,30000
377,41_kostu_943,Lilliputa,0,1,30,30000
377,41_kostu_730,Mordor,0,1,30,30000
377,41_kostu_458,Lilliputa,1,0,20,20000
377,41_kostu_179,Mordor,1,0,20,20000
380,41_kostu_940,Oceania,1,0,20,20000
380,41_kostu_367,Mordor,1,0,20,20000
380,41_kostu_520,Oceania,0,1,30,30000
380,41_kostu_714,Mordor,0,1,30,30000
380,41_kostu_515,Oceania,0,1,30,30000
380,41_kostu_022,Neverland,1,0,20,20000
380,41_kostu_803,Oceania,0,1,30,30000
384,41_kostu_978,Lilliputa,0,1,30,30000
384,41_kostu_876,Mordor,0,1,30,30000
384,41_kostu_638,Oceania,1,0,20,20000
384,41_kostu_362,Lilliputa,1,0,20,20000
384,41_kostu_829,Lilliputa,1,0,20,20000
384,41_kostu_656,Mordor,0,1,30,30000
386,41_kostu_324,Lilliputa,0,1,30,30000
389,41_kostu_232,Mordor,0,1,30,30000
389,41_kostu_347,Neverland,0,1,30,30000
389,41_kostu_496,Neverland,0,1,30,30000
389,41_kostu_520,Mordor,0,1,30,30000
389,41_kostu_442,Oceania,1,0,20,20000
389,41_kostu_307,Mordor,1,0,20,20000
389,41_kostu_421,Oceania,0,1,30,30000
390,41_kostu_225,Oceania,0,1,30,30000
390,41_kostu_949,Neverland,1,0,20,20000
390,41_kostu_767,Neverland,1,0,20,20000
391,41_kostu_081,Neverland,0,1,30,30000
391,41_kostu_026,Neverland,0,1,30,30000
391,41_kostu_335,Lilliputa,1,0,20,20000
391,41_kostu_626,Oceania,0,1,30,30000
391,41_kostu_464,Mordor,0,1,30,30000
391,41_kostu_220,Neverland,0,1,30,30000
391,41_kostu_614,Lilliputa,1,0,20,20000
394,41_kostu_658,Mordor,1,0,20,20000
394,41_kostu_231,Neverland,0,1,30,30000
394,41_kostu_038,Neverland,0,1,30,30000
398,41_kostu_146,Neverland,0,1,30,30000
398,41_kostu_194,Neverland,1,0,20,20000
398,41_kostu_348,Lilliputa,0,1,30,30000
398,41_kostu_551,Neverland,1,0,20,20000
398,41_kostu_872,Mordor,0,1,30,30000
402,41_kostu_590,Mordor,1,0,20,20000
402,41_kostu_010,Lilliputa,1,0,20,20000
406,41_kostu_194,Neverland,0,1,30,30000
406,41_kostu_718,Oceania,0,1,30,30000
406,41_kostu_859,Neverland,1,0,20,20000
406,41_kostu_749,Lilliputa,1,0,20,20000
411,41_kostu_720,Neverland,0,1,30,30000
411,41_kostu_615,Neverland,0,1,30,30000
411,41_kostu_163,Neverland,0,1,30,30000
411,41_kostu_793,Lilliputa,1,0,20,20000
411,41_kostu_335,Lilliputa,0,1,30,30000
411,41_kostu_336,Lilliputa,0,1,30,30000
411,41_kostu_249,Oceania,0,1,30,30000
413,41_kostu_172,Lilliputa,1,0,20,20000
413,41_kostu_910,Mordor,0,1,30,30000
413,41_kostu_855,Neverland,1,0,20,20000
415,41_kostu_314,Oceania,0,1,30,30000
417,41_kostu_999,Neverland,1,0,20,20000
417,41_kostu_850,Mordor,1,0,20,20000
417,41_kostu_770,Mordor,1,0,20,20000
417,41_kostu_237,Mordor,0,1,30,30000
417,41_kostu_615,Neverland,0,1,30,30000
417,41_kostu_211,Lilliputa,0,1,30,30000
421,41_kostu_810,Lilliputa,0,1,30,30000
421,41_kostu_971,Lilliputa,1,0,20,20000
421,41_kostu_236,Neverland,0,1,30,30000
421,41_kostu_264,Neverland,1,0,20,20000
421,41_kostu_054,Lilliputa,0,1,30,30000
422,41_kostu_355,Mordor,1,0,20,20000
422,41_kostu_405,Lilliputa,1,0,20,20000
422,41_kostu_515,Mordor,1,0,20,20000
422,41_kostu_074,Mordor,0,1,30,30000
422,41_kostu_376,Mordor,0,1,30,30000
426,41_kostu_002,Neverland,0,1,30,30000
429,41_kostu_712,Oceania,1,0,20,20000
429,41_kostu_638,Neverland,0,1,30,30000
429,41_kostu_926,Mordor,1,0,20,20000
429,41_kostu_438,Oceania,0,1,30,30000
429,41_kostu_824,Oceania,0,1,30,30000
429,41_kostu_247,Oceania,0,1,30,30000
433,41_kostu_551,Mordor,0,1,30,30000
433,41_kostu_946,Neverland,1,0,20,20000
